id_filme,nome_filme,ano_lanc_filme,ano_fim_filme,descricao_filme
29,Jurassic World,2015,2018,Vinte e dois anos apos os eventos de Jurassic Park; Isla Nublar agora possui um parque tematico em dinossauro em pleno funcionamento; Jurassic World; como originalmente imaginado por John Hammond.
30,Skyfall,2012,2015,Quando a ultima tarefa de Bond se torna gravemente errada e agentes em todo o mundo sao expostos; o MI6 e atacado forcando M a realocar a agencia. Esses eventos fazem com que sua autoridade e posicao sejam contestadas por Gareth Mallory; o novo presidente do Comite de Inteligencia e Seguranca. Com o MI6 agora comprometido de dentro e de fora; M fica com um aliado em quem pode confiar: Bond. 007 leva para as sombras - ajudado apenas pelo agente de campo; Eve - seguindo uma trilha para a misteriosa Silva; cujos motivos letais e ocultos ainda nao se revelaram.
31,Spider-Man 2,2004,2007,Peter Parker esta passando por uma grande crise de identidade. Queimado de ser o Homem-Aranha; ele decide engavetar seu alter ego de super-herois; o que deixa a cidade sofrendo na esteira da carnificina deixada pelo malvado Doc Ock. Enquanto isso; Parker ainda nao consegue demonstrar seus sentimentos por Mary Jane Watson; uma garota que ele ama desde a infancia.
32,Iron Man 3,2013,2016,Quando o mundo de Tony Stark e dilacerado por um formidavel terrorista chamado Mandarim; ele comeca uma odisseia de reconstrucao e retribuicao.
33,Alice in Wonderland,2010,2013,Alice; uma despretensiosa e individual de 19 anos de idade; e prometida a um burro de um nobre ingles. Em sua festa de noivado; ela escapa da multidao para considerar se vai continuar com o casamento e cai em um buraco no jardim depois de avistar um coelho incomum. Chegando em um lugar estranho e surreal chamado 'Underland'; ela se encontra em um mundo que se assemelha aos pesadelos que ela teve quando crianca; cheios de animais falantes; rainhas e cavaleiros viloes e freneticos bandersnatches. Alice percebe que ela esta la por uma razao - para conquistar o horrivel Jabberwocky e restaurar a rainha de direito ao seu trono.
34,X-Men: The Last Stand,2006,2009,Quando uma cura e encontrada para tratar mutacoes; linhas sao tracadas entre os X-Men e The Brotherhood; um bando de poderosos mutantes organizados sob o antigo aliado de Xavier; Magneto.
35,Monsters University,2013,2016,Um olhar sobre a relacao entre Mike e Sulley durante seus dias na Universidade Monstros - quando eles nao eram necessariamente os melhores amigos.
36,Transformers: Revenge of the Fallen,2009,2012,Sam Witwicky deixa os Autobots para tras por uma vida normal. Mas quando sua mente esta cheia de simbolos enigmaticos; os Decepticons o atacam e ele e arrastado de volta para a guerra dos Transformers.
37,Transformers: Age of Extinction,2014,2017,A medida que a humanidade retoma as pecas; apos a conclusao de Transformers: Dark of the Moon; os Autobots e Decepticons praticamente desapareceram da face do planeta. Entretanto; um grupo de poderosos e engenhosos empresarios e cientistas tentam aprender com incursoes passadas de Transformadores e empurram os limites da tecnologia alem do que podem controlar - tudo isso enquanto uma antiga e poderosa ameaca Transformadora coloca a Terra em suas mentes.
38,Oz: The Great and Powerful,2013,2016,Oscar Diggs; um pequeno ilusionista de circo e con-artista; e levado do Kansas para a Terra de Oz; onde os habitantes assumem que ele e o grande mago da profecia; para salvar Oz das garras do mal.
39,The Amazing Spider-Man 2,2014,2017,Para Peter Parker; a vida esta ocupada. Entre tirar os bandidos como Homem-Aranha e passar tempo com a pessoa que ele ama; Gwen Stacy; a formatura do ensino medio nao pode ser rapida o suficiente. Peter nao esqueceu a promessa que fez ao pai de Gwen de protege-la; mas essa e uma promessa que ele nao pode cumprir. As coisas vao mudar para Peter quando um novo vilao; Electro; surgir; um velho amigo; Harry Osborn; retornar; e Peter descobrir novas pistas sobre seu passado.
40,TRON: Legacy,2010,2013,Sam Flynn; o filho de Kevin Flynn; experiente em tecnologia e audaz; investiga o desaparecimento de seu pai e e levado para o The Grid. Com a ajuda de um misterioso programa chamado Quorra; Sam procura impedir que o malvado ditador Clu entre no mundo real.
41,Cars 2,2011,2014,O carro de corrida Star Lightning McQueen e seu amigo Mater viajam para o exterior para competir na corrida do World Grand Prix. Mas o caminho para o campeonato se torna rochoso; ja que Mater se envolve em uma aventura intrigante: a espionagem internacional.
42,Green Lantern,2011,2014,Durante seculos; uma pequena mas poderosa forca de guerreiros; chamada de Tropa dos Lanternas Verdes; jurou manter a ordem intergalactica. Cada Lanterna Verde usa um anel que lhe da superpoderes. Mas quando um novo inimigo chamado Parallax ameaca destruir o equilibrio de poder no Universo; seu destino e o destino da Terra estao nas maos do primeiro humano recrutado.
43,Toy Story 3,2010,2013,Woody; Buzz e o resto dos brinquedos de Andy nao sao usados ??ha anos. Com Andy prestes a ir para a faculdade; a turma se ve acidentalmente deixada em uma creche nefasta. Os brinquedos devem se unir para fugir e voltar para casa para Andy.
44,Terminator Salvation,2009,2012,Todo crescido em 2018; pos-apocaliptico; John Connor deve liderar a resistencia dos humanos contra os robos militaristas cada vez mais dominantes. Mas quando Marcus Wright aparece; sua existencia confunde a missao enquanto Connor tenta determinar se Wright veio do futuro ou do passado - e se ele e amigo ou inimigo.
45,Furious 7,2015,2018,Deckard Shaw busca vinganca contra Dominic Toretto e sua familia por seu irmao comatoso.
46,World War Z,2013,2016,A vida do ex-investigador das Nacoes Unidas Gerry Lane e sua familia parece contente. De repente; o mundo e atormentado por uma misteriosa infeccao; transformando populacoes humanas inteiras em zumbis irracionais e sem mente. Depois de escapar do caos; Lane e persuadida a ir em uma missao para investigar esta doenca. O que se segue e uma jornada perigosa ao redor do mundo onde Lane deve enfrentar perigos terriveis e grandes dificuldades para encontrar respostas antes que a civilizacao humana caia.
47,X-Men: Days of Future Past,2014,2017,O conjunto dos X-Men derrota uma guerra pela sobrevivencia da especie ao longo de dois periodos de tempo; ao unir forcas com seus eus mais jovens em uma batalha epica que deve mudar o passado - para salvar nosso futuro.
48,Star Trek Into Darkness,2013,2016,Quando a tripulacao da Enterprise e chamada de volta para casa; eles descobrem que uma forca de terror incontrolavel dentro de sua propria organizacao detonou a frota e tudo o que ela representa; deixando nosso mundo em estado de crise. Com uma pontuacao pessoal para resolver; o Capitao Kirk lidera uma cacada a um mundo da zona de guerra para capturar uma arma de destruicao em massa de um homem. Enquanto nossos herois sao impelidos para um epico jogo de xadrez de vida e morte; o amor sera desafiado; as amizades serao dilaceradas e os sacrificios devem ser feitos para a unica familia que Kirk deixou: sua tripulacao.
49,Jack the Giant Slayer,2013,2016,A historia de uma antiga guerra que e reacendida quando um jovem fazendeiro involuntariamente abre um portal entre o nosso mundo e uma gigantesca raca de gigantes. Soltos na Terra pela primeira vez em seculos; os gigantes se esforcam para recuperar a terra que perderam; forcando o jovem Jack a entrar na batalha de sua vida para dete-los. Lutando por um reino; seu povo e o amor de uma corajosa princesa; ele se depara com os guerreiros irrefreaveis ??que ele achava que so existiam na lenda - e tem a chance de se tornar uma lenda.
50,The Great Gatsby,2013,2016,Uma adaptacao do romance de Long Island; de F. Scott Fitzgerald; onde Nick Carraway; do Midwesterner; e atraido para o mundo luxuoso de seu vizinho; Jay Gatsby. Porem; em breve; Carraway vera as rachaduras da existencia nouveau riche de Gatsby; onde a obsessao; a loucura e a tragedia o aguardam.
51,Prince of Persia: The Sands of Time,2010,2013,Um principe trapaceiro une-se relutantemente a uma misteriosa princesa e; juntos; correm contra as forcas das trevas para salvaguardar uma antiga adaga capaz de liberar as Areias do Tempo - presente dos deuses que pode reverter o tempo e permitir que seu possuidor governe o mundo.
52,Pacific Rim,2013,2016,Quando legioes de criaturas monstruosas; conhecidas como Kaiju; comecaram a se levantar do mar; comecou uma guerra que levaria milhoes de vidas e consumiria recursos da humanidade por anos a fio. Para combater o gigante Kaiju; um tipo especial de arma foi inventado: robos macicos; chamados Jaegers; que sao controlados simultaneamente por dois pilotos cujas mentes estao trancadas em uma ponte neural. Mas ate mesmo os Jaegers estao se mostrando quase indefesos diante do implacavel Kaiju. A beira da derrota; as forcas que defendem a humanidade nao tem escolha a nao ser se voltarem para dois herois improvaveis ??- um ex-piloto frustrado (Charlie Hunnam) e um estagiario nao testado (Rinko Kikuchi) - que se uniram para dirigir um lendario mas aparentemente obsoleto. Jaeger do passado. Juntos; eles permanecem como a ultima esperanca da humanidade contra o crescente apocalipse.
53,Transformers: Dark of the Moon,2011,2014,Sam Witwicky da seus primeiros passos na vida adulta; permanecendo um aliado humano relutante do lider da Autobot; Optimus Prime. O filme gira em torno da corrida espacial entre a URSS e os EUA; sugerindo que havia um papel Transformers oculto em tudo o que continua sendo um dos segredos mais perigosos do planeta.
54,Indiana Jones and the Kingdom of the Crystal Skull,2008,2011,Durante a Guerra Fria; os sovieticos - liderados por Irina Spalko; que empunha a espada - estao em busca de um cranio de cristal que tem poderes sobrenaturais relacionados a uma mistica Cidade Perdida de Ouro. Depois de ser capturado e depois escapar deles; Indy e coagido a ir ao Peru a mando de um jovem cujo amigo - e colega de Indy - o professor Oxley foi capturado por seu conhecimento do paradeiro do cranio.
55,The Good Dinosaur,2015,2018,Uma jornada epica no mundo dos dinossauros; onde um Apatosaurus chamado Arlo faz um improvavel amigo humano.
56,Brave,2012,2015,Brave e ambientado nas misticas Terras Altas da Escocia; onde Merida e a princesa de um reino governado pelo Rei Fergus e pela Rainha Elinor. Uma filha rebelde e um arqueiro realizado; Merida um dia desafia um costume sagrado da terra e; inadvertidamente; traz turbulencias ao reino. Em uma tentativa de consertar as coisas; Merida procura uma excentrica velha sabia e recebe um desejo malfadado. Tambem figurando na busca de Merida - e servindo como alivio comico - estao os tres senhores do reino: o enorme Lorde MacGuffin; o ranzinza Lorde Macintosh e o desagradavel Lorde Dingwall.
57,Star Trek Beyond,2016,2019,A equipe do USS Enterprise explora os limites mais distantes do espaco desconhecido; onde eles encontram um misterioso novo inimigo que os coloca e tudo o que a Federacao representa para o teste.
58,WALLAE,2008,2011,WALL  E e o ultimo robo deixado em uma Terra que foi invadida pelo lixo e todos os humanos fugiram para o espaco sideral. Por 700 anos ele continuou a tentar limpar a bagunca; mas desenvolveu algumas qualidades humanas bastante interessantes. Quando um navio chega com um novo tipo de robo; WALL  E acha que finalmente encontrou um amigo e fica no navio quando sai.
59,Rush Hour 3,2007,2010,Depois de uma tentativa de assassinato contra o embaixador Han; o inspetor Lee e o detetive Carter estao de volta a acao quando se dirigem a Paris para proteger uma mulher francesa com conhecimento dos lideres secretos das triades. Lee tambem realiza reunioes secretas com uma autoridade das Nacoes Unidas; mas suas lutas pessoais com um cerebro criminoso chines chamado Kenji; revelam que e o irmao ha muito perdido de Lee ....
60,2012,2009,2012,Dr. Adrian Helmsley; parte de uma equipe geofisica mundial que investiga o efeito sobre a Terra da radiacao de tempestades solares sem precedentes; descobre que o nucleo da Terra esta esquentando. Ele adverte o presidente dos Estados Unidos; Thomas Wilson; de que a crosta terrestre esta se tornando instavel e que; sem os devidos preparativos para salvar uma fracao da populacao mundial; toda a raca esta condenada. Enquanto isso; o escritor Jackson Curtis tropeca na mesma informacao. Enquanto os lideres mundiais tentam construir arcas para escapar do iminente cataclisma; Curtis luta para encontrar uma maneira de salvar sua familia. Enquanto isso; erupcoes vulcanicas e terremotos de forca sem precedentes causam estragos em todo o mundo.
61,A Christmas Carol,2009,2012,Miserante Ebenezer Scrooge e despertado na vespera de Natal por espiritos que revelam a ele sua propria existencia miseravel; que oportunidades ele desperdicou em sua juventude; suas crueldades atuais e o terrivel destino que o espera se ele nao mudar seus modos. Scrooge se depara com sua propria historia de crescente amargura e mesquinharia e deve decidir o que seu proprio futuro trara: a morte ou a redencao.
62,Jupiter Ascending,2015,2018,Em um universo onde o material genetico humano e o bem mais precioso; uma mulher jovem e pobre da Terra se torna a chave para manobras estrategicas e conflitos internos dentro de uma poderosa dinastia ...
63,The Legend of Tarzan,2016,2019,Tarzan; tendo se acostumado a vida em Londres; e chamado de volta a sua antiga casa na selva para investigar as atividades em um acampamento de mineracao.
64,The Chronicles of Narnia: The Lion; the Witch and the Wardrobe,2005,2008,Os irmaos Lucy; Edmund; Susan e Peter passam por um guarda-roupa magico e encontram a terra de Narnia. La; eles descobrem um reino encantador e outrora pacifico que foi mergulhado no inverno eterno pelo malvado Feiticeiro Branco; Jadis. Ajudado pelo sabio e magnifico leao; Aslan; as criancas levam Narnia a uma batalha espetacular e climax para se libertar dos poderes glaciais da Bruxa para sempre.
65,X-Men: Apocalypse,2016,2019,Apos o ressurgimento do primeiro Apocalypse mutante e destruidor do mundo; os X-Men devem se unir para derrotar seu plano de extincao.
66,The Dark Knight,2008,2011,Batman aumenta as apostas em sua guerra contra o crime. Com a ajuda do tenente Jim Gordon e do procurador Harvey Dent; Batman procura desmantelar as organizacoes criminosas que ainda estao nas ruas. A parceria prova ser eficaz; mas eles logo se encontram presos a um reinado de caos desencadeado por um criminoso crescente conhecido pelos cidadaos aterrorizados de Gotham como o Coringa.
67,Up,2009,2012,Carl Fredricksen passou toda a sua vida a sonhar em explorar o mundo e experimentar a vida ao maximo. Mas aos 78 anos; a vida parece ter passado por ele; ate que uma reviravolta do destino (e um persistente Explorador da Terra Selvagem de 8 anos chamado Russell) lhe da uma nova chance de vida.
68,Monsters vs Aliens,2009,2012,Quando Susan Murphy e inconscientemente espancada por um meteoro cheio de lama no dia de seu casamento; ela misteriosamente cresce para 49-pes-11-polegadas. Os militares entram em acao e capturam Susan; segregando-a para um complexo secreto do governo. Ela e renomeada Ginormica e colocada em confinamento com um grupo desorganizado de Monstros ...
69,Iron Man,2008,2011,Depois de ser mantido em cativeiro em uma caverna afega; o engenheiro bilionario Tony Stark cria uma armadura de armadura unica para combater o mal.
70,Hugo,2011,2014,Hugo e um menino orfao que vive nas paredes de uma estacao de trem em Paris dos anos 1930. Ele aprendeu a consertar relogios e outros equipamentos de seu pai e tio; que ele usa para manter os relogios da estacao de trem em funcionamento. A unica coisa que ele deixou que o conecta ao seu pai morto e um automato (homem mecanico) que nao funciona sem uma chave especial que Hugo precisa encontrar para revelar o segredo que ele acredita que contem. Em suas aventuras; ele se encontra com um lojista; George Melies; que trabalha na estacao de trem e sua afilhada em busca de aventuras. Hugo descobre que eles tem uma conexao surpreendente com seu pai e o automato; e ele descobre que destrava algumas memorias que o velho enterrou dentro de seu passado.
71,Wild Wild West,1999,2002,O inventor do sul sem pernas Dr. Arliss Loveless planeja reacender a Guerra Civil ao assassinar o Presidente U.S. Grant. Apenas dois homens podem dete-lo: o pistoleiro James West e o mestre-disfarce e inventor Artemus Gordon. Os dois devem se unir para frustrar os planos de Loveless.
72,The Mummy: Tomb of the Dragon Emperor,2008,2011,O arqueologo Rick O'Connell viaja para a China; colocando-o contra um imperador da dinastia Han de 2.000 anos de idade que retornou dos mortos para perseguir uma busca pela dominacao mundial. Desta vez; O'Connell pede a ajuda de sua esposa e filho para anular o chamado Imperador Dragao e seu abuso de poder sobrenatural.
73,Suicide Squad,2016,2019,Da DC Comics vem o Esquadrao Suicida; uma equipe de anti-herois de superviloes encarcerados que atuam como ativos negaveis ??para o governo dos Estados Unidos; realizando missoes de alto risco em missoes negras em troca de sentencas de prisao comutadas.
74,Evan Almighty,2007,2010,Deus entra em contato com o congressista Evan Baxter e diz a ele para construir uma arca em preparacao para uma grande inundacao.
75,Edge of Tomorrow,2014,2017,Major Bill Cage e um oficial que nunca viu um dia de combate quando e rebaixado sem cerimonia e deixado cair em combate. Cage e morto em poucos minutos; conseguindo levar um alienigena alfa com ele. Ele acorda de volta no inicio do mesmo dia e e forcado a lutar e morrer novamente ... e novamente - como o contato fisico com o alienigena o jogou em um loop de tempo.
76,Waterworld,1995,1998,Em um mundo futurista onde as calotas polares se fundiram e fizeram da Terra um planeta liquido; uma bela garconete resgata um marinheiro mutante de uma prisao insular flutuante. Eles escapam; juntamente com sua jovem carga; Enola; e partem a bordo de seu navio. Mas o trio logo se torna alvo de um pirata ameacador que cobica o mapa de Terra Seca - que e tatuado nas costas de Enola.
77,G.I. Joe: The Rise of Cobra,2009,2012,Do deserto egipcio ate as profundezas das calotas polares; a elite G.I. A equipe do JOE usa o que ha de mais recente em espionagem de ultima geracao e equipamento militar para combater o corrupto negociante de armas Destro e a crescente ameaca da misteriosa organizacao Cobra para evitar que eles mergulhem o mundo no caos.
78,Inside Out,2015,2018,Crescer pode ser uma estrada esburacada; e nao e excecao para Riley; que e arrancada de sua vida no Meio-Oeste quando seu pai comeca um novo trabalho em Sao Francisco. Como todos nos; Riley e guiada por suas emocoes - Alegria; Medo; Raiva; Desgosto e Tristeza. As emocoes vivem na sede; o centro de controle dentro da mente de Riley; onde elas ajudam a aconselha-la durante a vida cotidiana. Enquanto Riley e suas emocoes lutam para se ajustar a uma nova vida em Sao Francisco; a agitacao segue na sede. Embora Joy; a principal e mais importante emocao de Riley; tenta manter as coisas positivas; as emocoes conflitam sobre a melhor maneira de navegar em uma nova cidade; casa e escola.
79,The Jungle Book,2016,2019,Depois de uma ameaca do tigre Shere Khan o obriga a fugir da floresta; um homem chamado Mowgli embarca em uma jornada de auto-descoberta com a ajuda de Pantera; Bagheera; e do livre espirito Baloo.
80,Iron Man 2,2010,2013,Com o mundo agora ciente de sua vida dupla como o super-heroi de ferro blindado Iron Man; o bilionario inventor Tony Stark enfrenta pressao do governo; da imprensa e do publico para compartilhar sua tecnologia com os militares. Nao querendo abandonar sua invencao; Stark; com Pepper Potts e James 'Rhodey' Rhodes ao seu lado; deve forjar novas aliancas - e confrontar inimigos poderosos.
81,Snow White and the Huntsman,2012,2015,Depois que a Rainha Ma se casa com o rei; ela realiza um violento golpe no qual o rei e assassinado e sua filha; Branca de Neve; e levada cativa. Quase uma decada depois; uma Branca de Neve crescida ainda esta nas garras da Rainha. A fim de obter a imortalidade; The Evil Queen precisa do coracao da Branca de Neve. Depois que Snow escapa do castelo; a Rainha envia o Cacador para encontra-la na Floresta Negra.
82,Maleficent,2014,2017,A historia nao contada do vilao mais iconico da Disney do classico de 1959 'A Bela Adormecida'. Uma jovem linda e de coracao puro; Malevola tem uma vida idilica em um reino de floresta pacifica; ate que um dia; quando um exercito invasor ameaca a harmonia da terra. Malevola se levanta para ser a mais feroz defensora da terra; mas no final ela sofre uma implacavel traicao - um ato que comeca a transformar seu coracao em pedra. Decidido por vinganca; Malevola enfrenta uma batalha epica com o sucessor do rei invasor e; como resultado; coloca uma maldicao sobre seu recem-nascido Aurora. Conforme a crianca cresce; Malevola percebe que Aurora detem a chave para a paz no reino - e para a verdadeira felicidade de Malevola tambem.
